Season,League,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2015,"MLB",183628,0.076638638,0.203923148,0.375821182,0.254433829,0.316788745,0.404576739,0.721365484,0.15014291,0.299092999,20582.83921639624,-64.27348957951882,0.3132078556789903,96.54749715976949
2016,"MLB",184575,0.081744548,0.211198699,0.387050433,0.255345364,0.321577837,0.417403541,0.738981378,0.162058177,0.300083479,21679.693285266654,-64.0704619858411,0.3181148489669957,96.6606873313764
2017,"MLB",185295,0.085425942,0.216433255,0.394698783,0.254972307,0.324461419,0.425912168,0.750373587,0.170939861,0.299603405,22516.85602634518,-65.1443176779839,0.32088766520189926,96.453370141985
2018,"MLB",185139,0.08472553,0.222573309,0.380663479,0.247944774,0.318144078,0.409418975,0.727563053,0.161474201,0.295582898,21576.98930344292,-53.01088989968065,0.3146891779805476,96.57431626877815
2019,"MLB",186517,0.085220113,0.229593012,0.371179039,0.252256198,0.322694959,0.434846266,0.757541225,0.182590068,0.298328285,23407.870309571666,-59.255972375236425,0.3199370537913245,96.7121897831555
2020,"MLB",66506,0.091600757,0.234354795,0.390863595,0.244617235,0.321843065,0.417712727,0.739555792,0.173095492,0.292131044,8345.200082840984,1.2008189583447786,0.319775609617641,100.02116737355355
2021,"MLB",181815,0.08686302,0.231801556,0.374730098,0.243820356,0.317087589,0.410774161,0.72786175,0.166953805,0.291668478,21950.649937242473,-59.108392856808365,0.31442573749125374,96.72524003417045
2022,"MLB",182048,0.081588372,0.224182633,0.363937077,0.242712507,0.311553139,0.394861285,0.706414424,0.152148778,0.290407126,20818.376834001338,1.8339298627728757,0.3097475609165803,100.10035493601997
2023,"MLB",184104,0.08592426,0.227279146,0.378056066,0.248385213,0.320136399,0.414157817,0.734294216,0.165772604,0.296525234,22433.265738998696,1.2648374784042673,0.31837643813263733,100.09528168407488
2024,"MLB",182449,0.081825606,0.225800086,0.362380755,0.243287493,0.3121107,0.399219241,0.711329941,0.155931748,0.290537456,21348.468516771252,5.936325949164669,0.310181047531053,100.09853811473911
