Season,AB,PA,H,1B,2B,3B,HR,BB,SO,AVG,BB%,K%,OBP,SLG,OPS,BABIP,wOBA,wRAA,wRC,Pull%,Cent%,Oppo%
2024,42347,47602,10340,6601,2030,254,1455,4286,10701,0.24417314,0.090038233,0.224801478,0.31889465,0.407183507,0.726078157,0.291340131,0.31608290214990314,191.73524639371482,5808.024006474648,0.39951982,0.35312276,0.24735743
2023,54728,61977,13610,8597,2751,286,1976,6006,14052,0.248684402,0.096906917,0.22672927,0.3280145,0.417720362,0.745734862,0.297499104,0.3233123999585353,259.06147478960975,7810.598214206029,0.40246446,0.34973075,0.24780478
2022,50758,57063,12147,7859,2450,264,1574,5150,12708,0.239312029,0.090251125,0.222701224,0.314757209,0.391012254,0.705769463,0.286873236,0.3098402009216469,7.052222774922754,6532.003816524146,0.39456082,0.35346884,0.25197034
2021,52101,58964,12607,7974,2521,272,1840,5638,13664,0.241972322,0.095617665,0.231734617,0.321353749,0.40674843,0.728102179,0.291417435,0.3148683218438243,11.378037477216278,7149.31159728237,0.38783095,0.35797217,0.25419689
2020,19655,22429,4667,2870,965,93,739,2311,5120,0.237445942,0.103036247,0.228275892,0.323900214,0.408801831,0.732702045,0.281961093,0.3176708756822637,-38.5051718194887,2775.4899487654734,0.40199742,0.34886881,0.24913377
2019,53409,60291,13376,8131,2811,270,2164,5643,13630,0.250444681,0.093596059,0.226070226,0.327468246,0.434739463,0.762207709,0.295184687,0.32224659890744556,111.3683678219665,7697.038900078323,0.40146745,0.34452927,0.25400327
2018,52108,58818,12986,8332,2561,316,1777,5499,12982,0.249213172,0.093491788,0.220714747,0.325901773,0.412796499,0.738698272,0.297202704,0.3195080054085708,221.4826448850462,7093.256562709066,0.39452013,0.34511068,0.26036919
2017,52089,58885,13406,8539,2660,252,1955,5623,12452,0.257367198,0.095491211,0.211463021,0.333788163,0.430705139,0.764493302,0.300874957,0.32681729510719343,284.0241721130788,7460.370486140988,0.38899657,0.34978381,0.26121962
2016,52905,59502,13481,8660,2701,364,1756,5409,12232,0.254815234,0.090904507,0.205572921,0.327946912,0.419204234,0.747151146,0.298391611,0.32154127770663626,158.96951437079167,7168.572280124662,0.39157064,0.34789871,0.26053065
2015,55185,61788,14299,9412,2851,354,1682,5316,12266,0.259110265,0.086036123,0.198517511,0.328342663,0.415040318,0.743382981,0.303125675,0.32241736363235624,441.19479437155485,7388.6309145538235,0.39148575,0.35327021,0.25524403
