Season,League,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2015,"MLB",20208,45361,41546,10361,6786,2123,258,1194,1194,1194,3438,0,9311,365,0,0,0,0,0,0.249386222
2016,"MLB",19711,43991,39971,9885,6364,1960,263,1298,1298,1298,3660,2,9340,351,0,0,0,0,0,0.247304295
2017,"MLB",19579,43550,39355,9842,6196,1977,207,1462,1463,1462,3782,1,9511,406,0,0,0,0,0,0.250082581
2018,"MLB",19776,44001,39752,9516,6069,1869,205,1373,1373,1373,3838,2,9990,404,0,0,0,0,0,0.239384181
2019,"MLB",19651,44015,39772,9717,5843,2076,202,1596,1597,1596,3813,4,10223,425,0,0,0,0,0,0.24431761
2020,"MLB",7333,16019,14301,3214,2002,646,63,503,503,503,1528,0,3835,185,0,0,0,0,0,0.224739528
2021,"MLB",19407,41605,37469,8715,5467,1764,184,1300,1300,1300,3720,2,9946,407,0,3,0,0,0,0.232592276
2022,"MLB",18548,41286,37409,8480,5448,1714,176,1142,1142,1142,3447,1,9605,419,0,2,0,0,0,0.226683418
2023,"MLB",19205,42885,38554,9171,5722,1855,195,1399,1400,1399,3913,2,10092,400,0,0,0,0,0,0.23787415
2024,"MLB",19744,44464,40200,9296,5927,1822,220,1327,1328,1327,3794,2,10263,453,0,0,0,0,0,0.231243781
