Season,AB,PA,H,1B,2B,3B,HR,BB,SO,AVG,BB%,K%,OBP,SLG,OPS,BABIP,wOBA,wRAA,wRC,Pull%,Cent%,Oppo%
2024,89813,99514,21808,14288,4297,308,2915,7521,22753,0.242815628,0.075577305,0.228641196,0.307410132,0.394887154,0.702297286,0.291266476,0.30630214697242986,-308.9368420025582,11332.018978185364,0.40617235,0.3518298,0.24199785
2023,92776,103098,23029,14760,4622,329,3318,8052,23812,0.248221522,0.078100448,0.230964713,0.314879296,0.412423471,0.727302767,0.297125371,0.3153192159876303,-266.1602351551017,12295.731027093065,0.41039362,0.34573395,0.24387243
2022,94110,104203,23218,15216,4588,292,3122,7916,23731,0.246711295,0.075967102,0.227738164,0.31136204,0.401190096,0.712552136,0.295694652,0.3120156497063648,187.93536316404615,12103.178706897292,0.40641839,0.34708969,0.24649192
2021,91792,102532,22566,14310,4465,298,3493,8268,24055,0.245838417,0.080638239,0.234609682,0.314918643,0.415134216,0.730052859,0.293837621,0.31496516952040915,-3.05743298470982,12409.034754688164,0.40137931,0.34805082,0.25056987
2020,32270,36089,8102,5122,1535,110,1335,3052,8613,0.251069104,0.084568705,0.238659979,0.322790258,0.429563061,0.752353319,0.300208508,0.3243309550346253,139.43703026342416,4667.247895963668,0.41183353,0.34614742,0.24201905
2019,93131,103787,23415,14510,4653,368,3884,8316,24457,0.251420042,0.080125641,0.235646082,0.318529209,0.434398857,0.752928066,0.298515903,0.31780402743838276,-240.55468175288433,12817.679342086381,0.40848863,0.34215238,0.24935898
2018,91744,102043,22749,14616,4605,382,3146,7889,23122,0.247961719,0.077310545,0.22659075,0.313170029,0.40935647,0.722526499,0.296180461,0.312233513642339,-248.37915866375096,11673.420730766658,0.4059834,0.34709419,0.24692242
2017,92342,102800,23458,14919,4639,411,3489,8165,23032,0.254033917,0.07942607,0.224046692,0.319754185,0.426523142,0.746277327,0.300502618,0.3189180055450654,-223.92048245906685,12304.370272097605,0.40027226,0.35041547,0.24931227
2016,92017,102040,23531,15316,4570,387,3258,7735,22205,0.255724485,0.075803606,0.21761074,0.3176734,0.420020213,0.737693613,0.301479663,0.3171988335466055,-130.05259720443735,11890.717565437571,0.39569832,0.3491249,0.25517678
2015,89595,98879,22627,15053,4353,473,2748,6975,20912,0.252547575,0.070540761,0.211490812,0.310648747,0.403705563,0.71435431,0.298384917,0.30988753240371336,-310.64625993037026,10807.297938417254,0.38716581,0.35422433,0.25860987
