Season,League,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2015,"MLB",27390,59507,55212,13610,8960,2669,288,1693,1693,1693,3821,1,12904,470,0,0,0,0,0,0.246504383
2016,"MLB",27860,60870,56142,14161,9084,2808,235,2034,2034,2034,4216,1,13626,506,0,0,0,0,0,0.252235403
2017,"MLB",28159,61498,56390,14099,8941,2767,250,2141,2141,2141,4531,5,14104,567,0,0,0,0,0,0.2500266
2018,"MLB",28268,61562,56494,13684,8732,2763,246,1943,1944,1943,4432,3,14471,623,0,0,0,0,0,0.242220412
2019,"MLB",28529,62768,57394,14047,8678,2761,239,2369,2369,2369,4746,2,15247,608,0,0,0,0,0,0.244746837
2020,"MLB",9714,21279,19328,4740,2944,908,66,822,823,822,1678,1,5254,263,0,2,0,0,0,0.245240066
2021,"MLB",28049,60990,55666,13368,8419,2635,173,2141,2141,2141,4611,0,14761,694,0,2,0,0,0,0.240146588
2022,"MLB",27749,62084,56907,13647,8934,2707,186,1820,1820,1820,4486,1,14513,665,0,2,0,0,0,0.239812325
2023,"MLB",27019,60521,55318,13507,8526,2762,197,2022,2022,2022,4537,1,14232,644,0,0,0,0,0,0.244170071
2024,"MLB",26589,59340,54393,12872,8413,2512,186,1761,1762,1762,4295,4,13895,632,0,0,0,0,0,0.236648098
