Season,League,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2015,"MLB",59507,0.064210933,0.216848437,0.296109733,0.246504383,0.300841974,0.397268709,0.698110683,0.150764326,0.293413763,6311.936909857388,-379.02381396740674,0.30523502202415614,91.44435138323816
2016,"MLB",60870,0.069262362,0.223854115,0.309408483,0.252235403,0.310249079,0.419311745,0.729560824,0.167076342,0.299565238,7045.661151931682,-125.09815618297168,0.31562634337370093,95.30431297610049
2017,"MLB",61498,0.073677192,0.229340791,0.321256381,0.2500266,0.312207259,0.421865579,0.734072838,0.171838979,0.29787022,7234.854840907886,-259.93917488711094,0.31587408157850916,93.60928186598208
2018,"MLB",61562,0.071992462,0.235063838,0.306267707,0.242220412,0.304456611,0.403016249,0.70747286,0.160795837,0.292939121,6862.397129355501,-329.9614331437721,0.30811143284522224,92.74003651423203
2019,"MLB",62768,0.075611776,0.2429104,0.311274349,0.244746837,0.309189137,0.425009582,0.734198719,0.180262745,0.293579365,7467.924199797189,-429.39659383148813,0.312018261507761,92.00777966354416
2020,"MLB",21279,0.078857089,0.246910099,0.319375713,0.245240066,0.31411914,0.426634933,0.740754073,0.181394867,0.295653486,2682.1629503845497,12.449536013534882,0.3204584813037267,100.65313045199359
2021,"MLB",60990,0.075602557,0.242023282,0.31237721,0.240146588,0.306260353,0.409082743,0.715343096,0.168936155,0.289624393,7183.870995276252,-199.32159363419785,0.3104795413335107,94.3985746553545
2022,"MLB",62084,0.072256942,0.233763932,0.309102184,0.239812325,0.30291018,0.389864164,0.692774344,0.150051839,0.291492088,6881.782488823473,-217.30264070576064,0.3053320574989416,96.9468228627252
2023,"MLB",60521,0.074965714,0.235158044,0.318788645,0.244170071,0.308897667,0.410878918,0.719776585,0.166708847,0.29400471,7111.745122884791,-262.3864905560158,0.3131556009993269,96.55632819205142
2024,"MLB",49085,0.071956809,0.231985331,0.310178273,0.237178917,0.300358685,0.387965514,0.688324199,0.150786597,0.28662044,5417.004299859283,-364.26576418173244,0.3017308494550222,93.76147858583586
