"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","babip","woba","xwoba","pull_percent","straightaway_percent","opposite_percent","batted_ball"
"Andrus, Elvis","462101","2020","103","111","20","12","5","0","3",13.5,7.2,".194",".330",".252","0.582",".200",".255",".295",29.5,50,20.5,"88"
"Maldonado, Martín","455117","2020","135","165","29","19","4","0","6",30.9,16.4,".215",".378",".350","0.728",".295",".326",".316",48.8,36,15.1,"86"
"Romine, Austin","519222","2020","130","135","31","24","5","0","2",34.8,3,".238",".323",".259","0.582",".354",".253",".231",26.2,40.5,33.3,"84"
"Holt, Brock","571788","2020","95","106","20","14","6","0","0",22.6,8.5,".211",".274",".283","0.557",".278",".253",".265",27.8,40.3,31.9,"72"
"Shaw, Travis","543768","2020","163","180","39","23","10","0","6",27.8,8.9,".239",".411",".306","0.717",".306",".310",".323",39.5,33.3,27.2,"114"
"Pérez, Roberto","547379","2020","97","110","16","13","2","0","1",34.5,10,".165",".216",".264","0.480",".259",".228",".267",32.2,39,28.8,"59"
"Berti, Jon","542932","2020","120","149","31","24","5","0","2",24.8,15.4,".258",".350",".388","0.738",".354",".337",".323",34.9,39.5,25.6,"86"
"Thames, Eric","519346","2020","123","140","25","17","5","0","3",30,10,".203",".317",".300","0.617",".282",".276",".305",32.1,45.7,22.2,"81"
"Bart, Joey","663698","2020","103","111","24","17","5","2","0",36.9,2.7,".233",".320",".288","0.608",".387",".271",".248",33.9,45.2,21,"62"
"Cronenworth, Jake","630105","2020","172","192","49","27","15","3","4",15.6,9.4,".285",".477",".354","0.831",".324",".356",".393",30.1,39.9,30.1,"143"
"Maybin, Cameron","457727","2020","93","101","23","13","8","1","1",24.8,6.9,".247",".387",".307","0.694",".328",".302",".298",44.1,41.2,14.7,"68"
"Tucker, Kyle","663656","2020","209","228","56","29","12","6","9",20.2,7.9,".268",".512",".325","0.837",".303",".349",".327",47,34.1,18.9,"164"
"Lindor, Francisco","596019","2020","236","266","61","40","13","0","8",15.4,9,".258",".415",".335","0.750",".280",".324",".346",44.2,32.5,23.4,"197"
"Olson, Matt","621566","2020","210","245","41","22","4","1","14",31.4,13.9,".195",".424",".310","0.734",".227",".316",".340",44.4,36.1,19.5,"133"
"Dickerson, Alex","543105","2020","151","170","45","24","10","1","10",17.6,9.4,".298",".576",".371","0.947",".313",".394",".356",36.9,35.2,27.9,"122"
"Mondesi, Adalberto","609275","2020","219","233","56","36","11","3","6",30,4.7,".256",".416",".294","0.710",".350",".305",".267",44.4,30.5,25.2,"151"
"O'Neill, Tyler","641933","2020","139","157","24","12","5","0","7",27.4,9.6,".173",".360",".261","0.621",".189",".271",".286",41.2,29.9,28.9,"97"
"Rojas, Miguel","500743","2020","125","143","38","23","10","1","4",12.6,11.2,".304",".496",".392","0.888",".330",".379",".332",36.4,40.2,23.4,"107"
"Franco, Maikel","596748","2020","223","243","62","38","16","0","8",15.6,6.6,".278",".457",".321","0.778",".298",".329",".307",43.4,38.1,18.5,"189"
"Santander, Anthony","623993","2020","153","165","40","15","13","1","11",15.2,6.1,".261",".575",".315","0.890",".248",".364",".358",35.9,32,32,"128"
"Adell, Jo","666176","2020","124","132","20","13","4","0","3",41.7,5.3,".161",".266",".212","0.478",".258",".212",".229",36.2,31.9,31.9,"69"
"Escobar, Eduardo","500871","2020","203","222","43","29","7","3","4",18.5,6.8,".212",".335",".270","0.605",".244",".257",".306",40.2,36,23.8,"164"
"Vogelbach, Daniel","596129","2020","115","136","24","15","3","0","6",24.3,14.7,".209",".391",".331","0.722",".237",".317",".335",31.7,40.2,28,"82"
"Paredes, Isaac","670623","2020","100","108","22","17","4","0","1",22.2,7.4,".220",".290",".278","0.568",".280",".255",".247",39.5,30.3,30.3,"76"
"DeJong, Paul","657557","2020","152","174","38","29","6","0","3",28.7,9.8,".250",".349",".322","0.671",".340",".296",".315",42.5,33,24.5,"106"
"Hernández, Enrique","571771","2020","139","148","32","18","8","1","5",20.9,4.1,".230",".410",".270","0.680",".260",".290",".290",40.4,35.8,23.9,"109"
"Gallo, Joey","608336","2020","193","226","35","17","8","0","10",35,12.8,".181",".378",".301","0.679",".240",".297",".315",48.2,28.9,22.8,"114"
"Pham, Tommy","502054","2020","109","125","23","18","2","0","3",21.6,12,".211",".312",".312","0.624",".253",".284",".353",39,41.5,19.5,"82"
"Kiner-Falefa, Isiah","643396","2020","211","228","59","49","4","3","3",14,6.1,".280",".370",".329","0.699",".316",".307",".294",32.8,39.4,27.8,"180"
"Sánchez, Gary","596142","2020","156","178","23","9","4","0","10",36,10.1,".147",".365",".253","0.618",".159",".271",".314",52.2,28.3,19.6,"92"
"Tauchman, Mike","643565","2020","95","111","23","17","6","0","0",23.4,12.6,".242",".305",".342","0.647",".329",".286",".300",20,34.3,45.7,"70"
"Robert Jr., Luis","673357","2020","202","227","47","28","8","0","11",32.2,8.8,".233",".436",".302","0.738",".300",".316",".326",32.8,38.2,29,"131"
"Riley, Austin","663586","2020","188","206","45","29","7","1","8",23.8,7.8,".239",".415",".301","0.716",".280",".307",".342",41.4,31.4,27.1,"140"
"Hiura, Keston","669374","2020","217","246","46","29","4","0","13",34.6,6.5,".212",".410",".297","0.707",".273",".304",".318",35.8,40.3,23.9,"134"
"Goodrum, Niko","592348","2020","158","179","29","16","7","1","5",38.5,10.1,".184",".335",".263","0.598",".276",".262",".265",33.7,42.4,23.9,"92"
"Quinn, Roman","596451","2020","108","116","23","17","3","1","2",33.6,4.3,".213",".315",".261","0.576",".313",".254",".245",41.4,40,18.6,"70"
"Bradley Jr., Jackie","598265","2020","191","217","54","36","11","0","7",22.1,10.6,".283",".450",".364","0.814",".343",".352",".301",27.8,44.4,27.8,"144"
"White, Evan","657108","2020","182","202","32","17","7","0","8",41.6,8.9,".176",".346",".252","0.598",".264",".261",".292",40.4,37.4,22.2,"99"
"Brantley Jr., Michael","488726","2020","170","187","51","31","15","0","5",15,9.1,".300",".476",".364","0.840",".336",".362",".325",43,31.7,25.4,"142"
"Hoerner, Nico","663538","2020","108","126","24","20","4","0","0",19,9.5,".222",".259",".312","0.571",".279",".265",".297",29.1,46.5,24.4,"86"
"Hilliard, Sam","656541","2020","105","114","22","12","2","2","6",36.8,7.9,".210",".438",".272","0.710",".281",".301",".266",46,33.3,20.6,"63"
"Margot, Manuel","622534","2020","145","159","39","29","9","0","1",15.7,8.2,".269",".352",".327","0.679",".317",".301",".309",50.4,33.1,16.5,"121"
"Harper, Bryce","547180","2020","190","244","51","27","9","2","13",17.6,20.1,".268",".542",".420","0.962",".279",".400",".454",38,34.7,27.3,"150"
"Tapia, Raimel","606132","2020","184","206","59","48","8","2","1",18.4,6.8,".321",".402",".369","0.771",".392",".338",".285",16.7,40.7,42.7,"150"
"Moore, Dylan","664238","2020","137","159","35","18","9","0","8",27,8.8,".255",".496",".358","0.854",".314",".368",".357",38.3,34,27.7,"94"
"Báez, Javier","595879","2020","222","235","45","27","9","1","8",31.9,3,".203",".360",".238","0.598",".262",".256",".275",40.3,34.9,24.8,"149"
"Moustakas, Mike","519058","2020","139","163","32","15","9","0","8",22.1,11,".230",".468",".331","0.799",".247",".340",".335",36.2,42.9,21,"105"
"Soler, Jorge","624585","2020","149","174","34","18","8","0","8",34.5,10.9,".228",".443",".326","0.769",".317",".332",".354",48.9,28.9,22.2,"90"
"Calhoun, Kole","594777","2020","190","228","43","18","9","0","16",21.9,12.3,".226",".526",".338","0.864",".211",".362",".379",56.3,29.2,14.6,"144"
"Grichuk, Randal","545341","2020","216","231","59","38","9","0","12",21.2,5.6,".273",".481",".312","0.793",".299",".334",".333",42,27.2,30.8,"169"
"Smoak, Justin","475253","2020","119","132","21","9","7","0","5",31.8,7.6,".176",".361",".250","0.611",".219",".265",".260",56.4,26.9,16.7,"78"
"Kelly, Carson","608348","2020","122","129","27","17","5","0","5",22.5,4.7,".221",".385",".264","0.649",".250",".279",".270",45.2,32.3,22.6,"93"
"Ward, Taylor","621493","2020","94","102","26","18","6","2","0",27.5,7.8,".277",".383",".333","0.716",".394",".314",".309",19.7,45.5,34.8,"66"
"Blackmon, Charlie","453568","2020","221","247","67","48","12","1","6",17.8,7.7,".303",".448",".356","0.804",".347",".340",".331",40.1,33.5,26.4,"182"
"Akiyama, Shogo","673451","2020","155","183","38","31","6","1","0",18.6,13.7,".245",".297",".357","0.654",".314",".304",".315",23.1,38.8,38,"121"
"Barnhart, Tucker","571466","2020","98","110","20","12","3","0","5",25.5,10.9,".204",".388",".291","0.679",".231",".296",".315",42.9,34.3,22.9,"70"
"Jiménez, Eloy","650391","2020","213","226","63","35","14","0","14",24.8,5.3,".296",".559",".332","0.891",".340",".373",".364",26.6,43.7,29.7,"158"
"Tucker, Cole","657061","2020","109","116","24","20","3","0","1",26.7,4.3,".220",".275",".252","0.527",".295",".233",".215",35,43.8,21.3,"80"
"Iglesias, Jose","578428","2020","142","150","53","33","17","0","3",11.3,2,".373",".556",".400","0.956",".407",".407",".387",38.1,36.5,25.4,"126"
"Carpenter, Matt","572761","2020","140","169","26","16","6","0","4",28.4,13.6,".186",".314",".325","0.639",".250",".293",".330",52.2,29.3,18.5,"92"
"Joyce, Matt","459964","2020","127","148","32","26","4","0","2",27.7,13.5,".252",".331",".351","0.682",".353",".310",".310",41.4,36.8,21.8,"87"
"Marte, Starling","516782","2020","228","250","64","43","14","1","6",16.4,4.8,".281",".430",".340","0.770",".319",".333",".326",37.8,37.2,25,"188"
"Peraza, José","606299","2020","111","120","25","15","8","1","1",15,4.2,".225",".342",".275","0.617",".258",".270",".291",38.3,43.6,18.1,"94"
"Edman, Tommy","669242","2020","204","227","51","38","7","1","5",21.1,7,".250",".368",".317","0.685",".301",".302",".315",35.4,41.1,23.4,"158"
"Mendick, Danny","664901","2020","107","114","26","18","4","1","3",21.9,5.3,".243",".383",".281","0.664",".287",".285",".257",28.9,31.3,39.8,"83"
"Acuña Jr., Ronald","660670","2020","160","202","40","15","11","0","14",29.7,18.8,".250",".581",".406","0.987",".302",".413",".420",43,34,23,"100"
"Naylor, Josh","647304","2020","97","104","24","19","3","1","1",11.5,4.8,".247",".330",".291","0.621",".274",".274",".309",29.4,44.7,25.9,"85"
"Slater, Austin","596103","2020","85","104","24","16","2","1","5",21.2,15.4,".282",".506",".408","0.914",".328",".395",".416",32.8,40.6,26.6,"64"
