"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2019,"Happ, Ian",112,"L",122,46,"37.7",".405",76,"62.3",".370"
2019,"Caratini, Victor",112,"L",227,39,"17.2",".237",188,"82.8",".362"
2019,"Schwarber, Kyle",112,"L",600,416,"69.3",".353",184,"30.7",".366"
2019,"García, Robel",112,"L",60,23,"38.3",".416",37,"61.7",".292"
2019,"Contreras, Willson",112,"R",407,24,"5.9",".625",383,"94.1",".352"
2019,"Zobrist, Ben",112,"L",148,56,"37.8",".395",92,"62.2",".249"
2019,"González, Carlos",112,"L",165,74,"44.8",".296",91,"55.2",".220"
2019,"Kemp, Tony",112,"L",273,55,"20.1",".300",218,"79.9",".288"
2019,"Castellanos, Nick",112,"R",654,166,"25.4",".452",488,"74.6",".323"
2019,"Bote, David",112,"R",352,24,"6.8",".260",328,"93.2",".341"
2019,"Descalso, Daniel",112,"L",194,100,"51.5",".196",94,"48.5",".283"
2019,"Heyward, Jason",112,"L",578,258,"44.6",".335",320,"55.4",".312"
2019,"Báez, Javier",112,"R",552,50,"9.1",".344",502,"90.9",".347"
2019,"Rizzo, Anthony",112,"L",605,420,"69.4",".388",185,"30.6",".383"
2019,"Bryant, Kris",112,"R",628,318,"50.6",".387",310,"49.4",".373"
2019,"Nimmo, Brandon",121,"L",252,96,"38.1",".196",156,"61.9",".429"
2019,"Alonso, Pete",121,"R",687,110,"16.0",".393",577,"84.0",".382"
2019,"Smith, Dominic",121,"L",197,94,"47.7",".393",103,"52.3",".346"
2019,"McNeil, Jeff",121,"L",565,111,"19.6",".382",454,"80.4",".385"
2019,"Conforto, Michael",121,"L",643,335,"52.1",".398",308,"47.9",".315"
2019,"Davis, J.D.",121,"R",451,35,"7.8",".465",416,"92.2",".366"
2019,"Canó, Robinson",121,"L",419,112,"26.7",".327",307,"73.3",".302"
2019,"Frazier, Todd",121,"R",498,287,"57.6",".321",211,"42.4",".337"
2019,"Panik, Joe",121,"L",489,57,"11.7",".266",432,"88.3",".286"
2019,"Lowe, Brandon",139,"L",327,219,"67.0",".311",108,"33.0",".441"
2019,"Lowe, Nathaniel",139,"L",170,78,"45.9",".306",92,"54.1",".343"
2019,"Zunino, Mike",139,"R",289,187,"64.7",".206",102,"35.3",".289"
2019,"Choi, Ji Man",139,"L",485,280,"57.7",".377",205,"42.3",".309"
2019,"Aguilar, Jesús",139,"R",369,57,"15.4",".312",312,"84.6",".306"
2019,"Meadows, Austin",139,"L",585,298,"50.9",".398",287,"49.1",".361"
2019,"Adames, Willy",139,"R",583,76,"13.0",".422",507,"87.0",".296"
2019,"Pham, Tommy",139,"R",650,36,"5.5",".358",614,"94.5",".348"
2019,"Pérez, Michael",139,"L",55,23,"41.8",".431",32,"58.2",".211"
2019,"Kiermaier, Kevin",139,"L",478,163,"34.1",".268",315,"65.9",".292"
2019,"Sogard, Eric",139,"L",440,99,"22.5",".346",341,"77.5",".341"
2019,"d'Arnaud, Travis",139,"R",391,23,"5.9",".233",368,"94.1",".319"
2019,"García, Avisaíl",139,"R",528,143,"27.1",".356",385,"72.9",".326"
2019,"Kemp, Matt",113,"R",60,32,"53.3",".147",28,"46.7",".262"
2019,"Galvis, Freddy",113,"L",404,143,"35.4",".282",261,"64.6",".326"
2019,"Schebler, Scott",113,"L",88,49,"55.7",".248",39,"44.3",".192"
2019,"Suárez, Eugenio",113,"R",650,298,"45.8",".423",352,"54.2",".345"
2019,"Winker, Jesse",113,"L",372,150,"40.3",".394",222,"59.7",".316"
2019,"Dietrich, Derek",113,"L",297,163,"54.9",".361",134,"45.1",".287"
2019,"Votto, Joey",113,"L",594,190,"32.0",".314",404,"68.0",".343"
2019,"Barnhart, Tucker",113,"L",305,110,"36.1",".337",195,"63.9",".307"
2019,"O'Grady, Brian",113,"L",48,35,"72.9",".284",13,"27.1",".363"
2019,"VanMeter, Josh",113,"L",260,119,"45.8",".322",141,"54.2",".311"
2019,"Casali, Curt",113,"R",234,60,"25.6",".324",174,"74.4",".311"
2019,"Farmer, Kyle",113,"R",196,28,"14.3",".307",168,"85.7",".286"
2019,"Cruz, Nelson",142,"R",512,118,"23.0",".455",394,"77.0",".407"
2019,"Polanco, Jorge",142,"L",491,198,"40.3",".376",293,"59.7",".370"
2019,"Sanó, Miguel",142,"R",439,207,"47.2",".359",232,"52.8",".396"
2019,"Cave, Jake",142,"L",228,78,"34.2",".377",150,"65.8",".326"
2019,"Adrianza, Ehire",142,"L",174,42,"24.1",".315",132,"75.9",".328"
2019,"Rosario, Eddie",142,"L",588,398,"67.7",".319",190,"32.3",".349"
2019,"Garver, Mitch",142,"R",359,67,"18.7",".454",292,"81.3",".393"
2019,"Kepler, Max",142,"L",595,429,"72.1",".355",166,"27.9",".352"
2019,"Schoop, Jonathan",142,"R",463,45,"9.7",".482",418,"90.3",".307"
2019,"Gonzalez, Marwin",142,"L",337,145,"43.0",".284",192,"57.0",".323"
2019,"Buxton, Byron",142,"R",294,73,"24.8",".386",221,"75.2",".325"
2019,"Wade Jr., LaMonte",142,"L",69,20,"29.0",".251",49,"71.0",".348"
2019,"Castro, Jason",142,"L",275,128,"46.5",".351",147,"53.5",".308"
2019,"Cron, C.J.",142,"R",497,103,"20.7",".407",394,"79.3",".302"
2019,"Ohtani, Shohei",108,"L",424,145,"34.2",".349",279,"65.8",".354"
2019,"Calhoun, Kole",108,"L",617,498,"80.7",".347",119,"19.3",".256"
2019,"Stassi, Max",108,"R",142,34,"23.9",".138",108,"76.1",".176"
2019,"Walsh, Jared",108,"L",86,58,"67.4",".270",28,"32.6",".236"
2019,"Simmons, Andrelton",108,"R",415,83,"20.0",".359",332,"80.0",".274"
2019,"La Stella, Tommy",108,"L",320,124,"38.8",".385",196,"61.3",".332"
2019,"Thaiss, Matt",108,"L",164,96,"58.5",".303",68,"41.5",".302"
2019,"Upton, Justin",108,"R",256,72,"28.1",".329",184,"71.9",".298"
2019,"Pujols, Albert",108,"R",536,239,"44.6",".295",297,"55.4",".318"
2019,"Goodwin, Brian",108,"L",448,155,"34.6",".359",293,"65.4",".324"
2019,"Bour, Justin",108,"L",167,112,"67.1",".239",55,"32.9",".337"
2019,"Cozart, Zack",108,"R",107,31,"29.0",".123",76,"71.0",".161"
2019,"Rengifo, Luis",108,"L",269,55,"20.4",".243",214,"79.6",".341"
2019,"Trout, Mike",108,"R",578,217,"37.5",".396",361,"62.5",".469"
2019,"Brantley, Michael",117,"L",625,230,"36.8",".357",395,"63.2",".365"
2019,"Altuve, Jose",117,"R",538,81,"15.1",".353",457,"84.9",".376"
2019,"Reddick, Josh",117,"L",540,203,"37.6",".294",337,"62.4",".318"
2019,"Chirinos, Robinson",117,"R",432,111,"25.7",".368",321,"74.3",".324"
2019,"Toro, Abraham",117,"L",63,24,"38.1",".305",39,"61.9",".386"
2019,"Díaz, Aledmys",117,"R",241,38,"15.8",".334",203,"84.2",".352"
2019,"Gurriel, Yuli",117,"R",602,58,"9.6",".308",544,"90.4",".366"
2019,"Tucker, Kyle",117,"L",71,46,"64.8",".403",25,"35.2",".251"
2019,"Maldonado, Martín",117,"R",369,65,"17.6",".260",304,"82.4",".291"
2019,"Springer, George",117,"R",544,61,"11.2",".371",483,"88.8",".404"
2019,"Bregman, Alex",117,"R",678,216,"31.9",".411",462,"68.1",".415"
2019,"Alvarez, Yordan",117,"L",365,202,"55.3",".446",163,"44.7",".414"
2019,"Riley, Austin",144,"R",294,96,"32.7",".294",198,"67.3",".313"
2019,"Markakis, Nick",144,"L",468,41,"8.8",".325",427,"91.2",".333"
2019,"Swanson, Dansby",144,"R",543,46,"8.5",".337",497,"91.5",".315"
2019,"Flowers, Tyler",144,"R",307,47,"15.3",".341",260,"84.7",".304"
2019,"Joyce, Matt",144,"L",238,166,"69.7",".402",72,"30.3",".302"
2019,"Freeman, Freddie",144,"L",681,447,"65.6",".382",234,"34.4",".397"
2019,"Acuña Jr., Ronald",144,"R",710,148,"20.8",".343",562,"79.2",".376"
2019,"Duvall, Adam",144,"R",130,64,"49.2",".243",66,"50.8",".474"
2019,"Albies, Ozzie",144,"L",537,253,"47.1",".351",284,"52.9",".302"
2019,"Ortega, Rafael",144,"L",96,34,"35.4",".209",62,"64.6",".278"
2019,"McCann, Brian",144,"L",315,222,"70.5",".327",93,"29.5",".275"
2019,"Donaldson, Josh",144,"R",657,80,"12.2",".400",577,"87.8",".374"
