"year","name","team_id","bat_side","total_pa","pa_shades","pa_shade_percent","woba_shade","pa_non_shades","pa_non_shade_percent","woba_non_shade"
2024,"Swanson, Dansby",112,"R",590,53,"9.0",".271",537,"91.0",".309"
2024,"Suzuki, Seiya",112,"R",582,30,"5.2",".255",552,"94.8",".371"
2024,"Happ, Ian",112,"L",494,228,"46.2",".328",266,"53.8",".367"
2024,"Busch, Michael",112,"L",566,288,"50.9",".357",278,"49.1",".315"
2024,"Paredes, Isaac",112,"R",638,107,"16.8",".283",531,"83.2",".336"
2024,"Crow-Armstrong, Pete",112,"L",408,105,"25.7",".234",303,"74.3",".309"
2024,"Wisdom, Patrick",112,"R",174,23,"13.2",".318",151,"86.8",".264"
2024,"Bellinger, Cody",112,"L",562,268,"47.7",".281",294,"52.3",".359"
2024,"Tauchman, Mike",112,"L",350,96,"27.4",".308",254,"72.6",".332"
2024,"Narváez, Omar",121,"L",69,24,"34.8",".228",45,"65.2",".140"
2024,"Baty, Brett",121,"L",168,64,"38.1",".321",104,"61.9",".255"
2024,"Alonso, Pete",121,"R",680,57,"8.4",".344",623,"91.6",".339"
2024,"Winker, Jesse",121,"L",506,261,"51.6",".362",245,"48.4",".312"
2024,"Nimmo, Brandon",121,"L",649,184,"28.4",".330",465,"71.6",".319"
2024,"Stewart, DJ",121,"L",191,107,"56.0",".295",84,"44.0",".293"
2024,"McNeil, Jeff",121,"L",466,120,"25.8",".316",346,"74.2",".299"
2024,"Lindor, Francisco",121,"L",512,296,"57.8",".328",216,"42.2",".410"
2024,"Taylor, Tyrone",121,"R",340,28,"8.2",".244",312,"91.8",".311"
2024,"Caballero, José",139,"R",480,59,"12.3",".290",421,"87.7",".275"
2024,"Palacios, Richie",139,"L",314,142,"45.2",".279",172,"54.8",".322"
2024,"Rortvedt, Ben",139,"L",326,149,"45.7",".306",177,"54.3",".256"
2024,"Aranda, Jonathan",139,"L",142,74,"52.1",".329",68,"47.9",".305"
2024,"Siri, Jose",139,"R",444,42,"9.5",".201",402,"90.5",".277"
2024,"Walls, Taylor",139,"L",195,83,"42.6",".269",112,"57.4",".228"
2024,"Morel, Christopher",139,"R",607,94,"15.5",".335",513,"84.5",".271"
2024,"DeLuca, Jonny",139,"R",360,35,"9.7",".211",325,"90.3",".276"
2024,"Carlson, Dylan",139,"L",148,69,"46.6",".183",79,"53.4",".288"
2024,"Lowe, Josh",139,"L",381,222,"58.3",".278",159,"41.7",".328"
2024,"Shenton, Austin",139,"L",50,27,"54.0",".383",23,"46.0",".267"
2024,"Lowe, Brandon",139,"L",423,286,"67.6",".310",137,"32.4",".386"
2024,"De La Cruz, Elly",113,"R",217,24,"11.1",".220",193,"88.9",".305"
2024,"Candelario, Jeimer",113,"L",315,152,"48.3",".250",163,"51.7",".364"
