"Player","Shift Rate (2022)","Est_2022_OBP","Est_2023_OBP","p_OBP","Est_2022_OPS","Est_2023_OPS","p_OPS","Est_2022_wOBA","Est_2023_wOBA","p_wOBA"
"Corey Seager","92.8%","-0.045"," 0.065","0.051","-0.090"," 0.226","0.051","-0.043"," 0.080","0.051"
"Kyle Tucker","90.9%","-0.002"," 0.041","0.542"," 0.029"," 0.101","0.288"," 0.012"," 0.036","0.237"
"Kyle Schwarber","90.7%","-0.009"," 0.004","0.322"," 0.066"," 0.072","0.085","-0.001"," 0.026","0.593"
"Cody Bellinger","90.5%","-0.084"," 0.043","0.017","-0.145"," 0.142","0.017","-0.063"," 0.055","0.017"
"Joey Gallo","90.0%","-0.076","-0.018","0.017","-0.183"," 0.013","0.017","-0.074","-0.003","0.017"
"Max Kepler","89.7%","-0.007"," 0.023","0.390","-0.035"," 0.137","0.220","-0.011"," 0.063","0.237"
"Max Muncy","89.0%","-0.028","-0.011","0.085","-0.146","-0.046","0.017","-0.045","-0.015","0.017"
"Seth Brown","88.6%","-0.009","-0.027","0.322"," 0.028","-0.033","0.288"," 0.011","-0.012","0.237"
"Shohei Ohtani","88.3%","-0.021"," 0.078","0.136","-0.027"," 0.245","0.322","-0.031"," 0.083","0.085"
"Yordan Alvarez","88.1%"," 0.033"," 0.022","0.085"," 0.177"," 0.159","0.017"," 0.063"," 0.073","0.017"
"Brandon Lowe","85.3%","-0.021"," 0.009","0.169","-0.109"," 0.025","0.017","-0.038"," 0.013","0.068"
"Brandon Belt","85.2%","-0.045"," 0.039","0.051","-0.200"," 0.091","0.017","-0.076"," 0.040","0.017"
"Eddie Rosario","83.6%","-0.038"," 0.002","0.068","-0.151"," 0.027","0.017","-0.060"," 0.010","0.017"
"Cavan Biggio","82.8%","-0.024","-0.005","0.085","-0.051"," 0.025","0.153","-0.019","-0.004","0.136"
"Anthony Rizzo","82.6%","-0.031","-0.013","0.085","-0.040","-0.055","0.203","-0.023","-0.015","0.102"
"Matt Olson","81.3%","-0.002"," 0.074","0.542","-0.016"," 0.218","0.407","-0.011"," 0.080","0.237"
"Mike Yastrzemski","81.2%","-0.010"," 0.014","0.305","-0.077"," 0.005","0.085","-0.023"," 0.009","0.102"
"Eugenio Suárez","80.9%","-0.002"," 0.008","0.559"," 0.018","-0.037","0.373"," 0.005","-0.008","0.390"
"Byron Buxton","78.8%","-0.001","-0.014","0.627"," 0.062","-0.037","0.085"," 0.026","-0.014","0.102"
"Rowdy Tellez","78.4%"," 0.006","-0.027","0.390"," 0.076","-0.027","0.085"," 0.030","-0.031","0.102"
"Carlos Santana","78.2%","-0.046","-0.008","0.051","-0.055"," 0.030","0.085","-0.026"," 0.009","0.102"
"Jorge Soler","78.0%","-0.026"," 0.021","0.085","-0.126"," 0.096","0.017","-0.047"," 0.039","0.017"
"José Ramírez","77.3%"," 0.015"," 0.059","0.254"," 0.123"," 0.104","0.017"," 0.031"," 0.048","0.085"
"Josh Naylor","77.1%"," 0.005"," 0.038","0.407"," 0.095"," 0.161","0.051"," 0.030"," 0.056","0.102"
"Joc Pederson","77.0%"," 0.020"," 0.026","0.186"," 0.060","-0.004","0.085"," 0.032","-0.001","0.085"
"Daniel Vogelbach","76.4%"," 0.031"," 0.006","0.085"," 0.076"," 0.010","0.085"," 0.039"," 0.013","0.068"
"Bryce Harper","75.7%","-0.031"," 0.041","0.085","-0.104"," 0.090","0.051","-0.049"," 0.034","0.017"
"Salvador Perez","75.6%","-0.004","-0.017","0.441"," 0.020"," 0.063","0.339"," 0.004"," 0.020","0.475"
"Marcus Semien","75.3%","-0.015"," 0.019","0.254","-0.046"," 0.163","0.153","-0.021"," 0.060","0.102"
"Ozzie Albies","75.1%","-0.037"," 0.040","0.068","-0.016"," 0.160","0.407","-0.021"," 0.061","0.119"
