"unit","OBP_weight","OPS_weight","wOBA_weight"
"Vladimir Guerrero Jr.","59","53","56"
"Yuli Gurriel Jr.","33","23","24"
"Nicky Lopez"," 8"," 0"," 1"
"Adam Frazier","NA"," 0"," 1"
"Amed Rosario","NA"," 0"," 0"
"Brian Anderson","NA"," 0"," 0"
"Carlos Correa","NA"," 1"," 1"
"Christian Vázquez","NA"," 0"," 0"
"DJ LeMahieu","NA"," 1"," 0"
"Elias Díaz","NA"," 0"," 0"
"Elvis Andrus","NA"," 0"," 0"
"Garrett Cooper","NA"," 0"," 1"
"Harold Ramírez","NA"," 0"," 0"
"J.D. Martinez","NA"," 1"," 0"
"J.T. Realmuto","NA"," 0"," 0"
"Javier Báez","NA"," 0"," 0"
"Jean Segura","NA"," 1"," 1"
"Joey Wendle","NA"," 0"," 0"
"Jon Berti","NA"," 0"," 0"
"José Abreu","NA"," 1"," 1"
"Justin Turner","NA"," 1"," 1"
"Kevin Newman","NA"," 0"," 0"
"Lourdes Gurriel Jr.","NA"," 1"," 0"
"Luis Arraez","NA"," 2"," 3"
"Manuel Margot","NA"," 0"," 0"
"Miguel Cabrera","NA"," 0"," 0"
"Miguel Rojas","NA"," 0"," 0"
"Nolan Arenado","NA"," 5"," 1"
"Paul Goldschmidt","NA"," 0"," 0"
"Randal Grichuk","NA"," 0"," 0"
"Starling Marte","NA"," 1"," 1"
"Teoscar Hernández","NA"," 0"," 0"
"Tim Anderson","NA"," 1"," 1"
"Tommy Pham","NA"," 0"," 0"
"Trea Turner","NA"," 2"," 1"
"Trey Mancini III","NA"," 0"," 0"
"Whit Merrifield","NA"," 0"," 0"
"Willson Contreras","NA"," 0"," 0"
"Xander Bogaerts","NA"," 1"," 1"
"Yan Gomes","NA"," 0"," 0"
"Yandy Díaz","NA"," 1"," 1"
