"Player","Shift Rate (2022)","Estimate_OBP","p_OBP","Estimate_OPS","p_OPS","Estimate_wOBA","p_wOBA"
"Corey Seager","92.8%"," 0.085","0.017"," 0.271","0.017"," 0.115","0.017"
"Kyle Tucker","90.9%"," 0.047","0.136"," 0.097","0.254"," 0.034","0.254"
"Kyle Schwarber","90.7%"," 0.018","0.424"," 0.061","0.424"," 0.026","0.390"
"Cody Bellinger","90.5%"," 0.041","0.169"," 0.130","0.102"," 0.047","0.119"
"Joey Gallo","90.0%","-0.001","0.932"," 0.037","0.644"," 0.018","0.593"
"Max Kepler","89.7%"," 0.023","0.356"," 0.096","0.254"," 0.044","0.119"
"Max Muncy","89.0%"," 0.005","0.831","-0.026","0.695","-0.005","0.881"
"Seth Brown","88.6%","-0.035","0.220","-0.043","0.627","-0.021","0.525"
"Shohei Ohtani","88.3%"," 0.076","0.017"," 0.241","0.017"," 0.083","0.017"
"Yordan Alvarez","88.1%"," 0.015","0.458"," 0.214","0.017"," 0.083","0.017"
"Brandon Lowe","85.3%"," 0.012","0.627"," 0.078","0.373"," 0.033","0.271"
"Brandon Belt","85.2%"," 0.044","0.136"," 0.115","0.169"," 0.047","0.119"
"Eddie Rosario","83.6%"," 0.001","0.966"," 0.001","1.000"," 0.003","0.949"
"Cavan Biggio","82.8%"," 0.015","0.475"," 0.030","0.678"," 0.013","0.644"
"Anthony Rizzo","82.6%","-0.005","0.797","-0.050","0.559","-0.013","0.712"
"Matt Olson","81.3%"," 0.075","0.017"," 0.222","0.017"," 0.085","0.017"
"Mike Yastrzemski","81.2%"," 0.009","0.678"," 0.078","0.373"," 0.034","0.254"
"Eugenio Suárez","80.9%"," 0.002","0.915","-0.077","0.373","-0.013","0.678"
"Byron Buxton","78.8%","-0.022","0.356"," 0.074","0.373"," 0.020","0.559"
"Rowdy Tellez","78.4%","-0.024","0.339","-0.083","0.339","-0.017","0.610"
"Carlos Santana","78.2%","-0.004","0.864"," 0.021","0.780"," 0.005","0.881"
"Jorge Soler","78.0%"," 0.021","0.356"," 0.081","0.339"," 0.028","0.356"
"José Ramírez","77.3%"," 0.058","0.051"," 0.109","0.203"," 0.046","0.119"
"Josh Naylor","77.1%"," 0.031","0.271"," 0.136","0.085"," 0.047","0.119"
"Joc Pederson","77.0%"," 0.024","0.339","-0.006","1.000"," 0.001","0.983"
"Daniel Vogelbach","76.4%"," 0.000","0.983","-0.013","0.898","-0.040","0.169"
"Bryce Harper","75.7%"," 0.043","0.153"," 0.094","0.254"," 0.040","0.169"
"Salvador Perez","75.6%","-0.020","0.407"," 0.049","0.559"," 0.017","0.593"
"Marcus Semien","75.3%"," 0.022","0.356"," 0.158","0.085"," 0.037","0.220"
"Ozzie Albies","75.1%"," 0.030","0.271"," 0.165","0.068"," 0.063","0.068"
