"Player","Shift Rate (2022)","Est_2023_OBP","p_OBP","Est_2023_OPS","p_OPS","Est_2023_wOBA","p_wOBA"
"Corey Seager","92.8%"," 0.074","0.022"," 0.313","0.022"," 0.118","0.022"
"Kyle Tucker","90.9%"," 0.036","0.200"," 0.138","0.067"," 0.053","0.089"
"Kyle Schwarber","90.7%"," 0.039","0.178","-0.003","1.000","-0.006","0.867"
"Cody Bellinger","90.5%"," 0.065","0.022"," 0.104","0.244"," 0.047","0.133"
"Joey Gallo","90.0%"," 0.007","0.689"," 0.022","0.822"," 0.013","0.711"
"Max Kepler","89.7%"," 0.012","0.600"," 0.210","0.022"," 0.061","0.044"
"Max Muncy","89.0%"," 0.005","0.756","-0.026","0.778","-0.005","0.889"
"Shohei Ohtani","88.3%"," 0.078","0.022"," 0.241","0.022"," 0.082","0.022"
"Yordan Alvarez","88.1%"," 0.015","0.556"," 0.214","0.022"," 0.083","0.022"
"Anthony Rizzo","82.6%","-0.005","0.733","-0.053","0.622","-0.020","0.622"
"Matt Olson","81.3%"," 0.075","0.022"," 0.219","0.022"," 0.084","0.022"
"Mike Yastrzemski","81.2%"," 0.014","0.578"," 0.063","0.600"," 0.025","0.511"
"Eugenio Suárez","80.9%"," 0.007","0.689","-0.077","0.378","-0.024","0.556"
"Rowdy Tellez","78.4%","-0.024","0.356","-0.061","0.600","-0.032","0.333"
"Carlos Santana","78.2%"," 0.000","1.000"," 0.030","0.778"," 0.007","0.822"
"José Ramírez","77.3%"," 0.034","0.244"," 0.091","0.333"," 0.019","0.622"
"Joc Pederson","77.0%"," 0.018","0.467","-0.002","1.000"," 0.005","0.889"
"Bryce Harper","75.7%"," 0.043","0.111"," 0.079","0.378"," 0.035","0.244"
"Salvador Perez","75.6%","-0.020","0.400"," 0.057","0.622"," 0.012","0.711"
"Marcus Semien","75.3%"," 0.023","0.378"," 0.078","0.378"," 0.030","0.356"
