"Player","Shift Rate (2022)","Donors","Est_2023_OBP","p_OBP","Est_2023_OPS","p_OPS","Est_2023_wOBA","p_wOBA"
"Corey Seager","92.8%","20.000"," 0.085","0.017"," 0.271","0.017"," 0.115","0.017"
"Kyle Tucker","90.9%","58.000"," 0.047","0.136"," 0.097","0.254"," 0.034","0.254"
"Kyle Schwarber","90.7%","14.000"," 0.018","0.424"," 0.061","0.424"," 0.026","0.390"
"Cody Bellinger","90.5%","26.000"," 0.041","0.169"," 0.130","0.102"," 0.047","0.119"
"Joey Gallo","90.0%","26.000","-0.001","0.932"," 0.037","0.644"," 0.018","0.593"
"Max Kepler","89.7%","19.000"," 0.023","0.356"," 0.096","0.254"," 0.044","0.119"
"Max Muncy","89.0%","32.000"," 0.005","0.831","-0.026","0.695","-0.005","0.881"
"Seth Brown","88.6%","58.000","-0.035","0.220","-0.043","0.627","-0.021","0.525"
"Shohei Ohtani","88.3%","32.000"," 0.076","0.017"," 0.241","0.017"," 0.083","0.017"
"Yordan Alvarez","88.1%","41.000"," 0.015","0.458"," 0.214","0.017"," 0.083","0.017"
"Brandon Lowe","85.3%","41.000"," 0.012","0.627"," 0.078","0.373"," 0.033","0.271"
"Brandon Belt","85.2%","14.000"," 0.044","0.136"," 0.115","0.169"," 0.047","0.119"
"Eddie Rosario","83.6%","14.000"," 0.001","0.966"," 0.001","1.000"," 0.003","0.949"
"Cavan Biggio","82.8%","41.000"," 0.015","0.475"," 0.030","0.678"," 0.013","0.644"
"Anthony Rizzo","82.6%","14.000","-0.005","0.797","-0.050","0.559","-0.013","0.712"
"Matt Olson","81.3%","32.000"," 0.075","0.017"," 0.222","0.017"," 0.085","0.017"
"Mike Yastrzemski","81.2%","41.000"," 0.009","0.678"," 0.078","0.373"," 0.034","0.254"
"Eugenio Suárez","80.9%","14.000"," 0.002","0.915","-0.077","0.373","-0.013","0.678"
"Byron Buxton","78.8%","20.000","-0.022","0.356"," 0.074","0.373"," 0.020","0.559"
"Rowdy Tellez","78.4%","41.000","-0.024","0.339","-0.083","0.339","-0.017","0.610"
"Carlos Santana","78.2%","14.000","-0.004","0.864"," 0.021","0.780"," 0.005","0.881"
"Jorge Soler","78.0%","14.000"," 0.021","0.356"," 0.081","0.339"," 0.028","0.356"
"José Ramírez","77.3%","14.000"," 0.058","0.051"," 0.109","0.203"," 0.046","0.119"
"Josh Naylor","77.1%","41.000"," 0.031","0.271"," 0.136","0.085"," 0.047","0.119"
"Joc Pederson","77.0%","14.000"," 0.024","0.339","-0.006","1.000"," 0.001","0.983"
"Daniel Vogelbach","76.4%","41.000"," 0.000","0.983","-0.013","0.898","-0.040","0.169"
"Bryce Harper","75.7%","14.000"," 0.043","0.153"," 0.094","0.254"," 0.040","0.169"
"Salvador Perez","75.6%","14.000","-0.020","0.407"," 0.049","0.559"," 0.017","0.593"
"Marcus Semien","75.3%","14.000"," 0.022","0.356"," 0.158","0.085"," 0.037","0.220"
"Ozzie Albies","75.1%","32.000"," 0.030","0.271"," 0.165","0.068"," 0.063","0.068"
"Charlie Blackmon","73.0%","14.000"," 0.034","0.237","-0.006","1.000"," 0.006","0.864"
"Adam Duvall","71.7%","20.000","-0.008","0.712"," 0.149","0.085"," 0.040","0.169"
"Gary Sánchez","70.5%","26.000","-0.008","0.695"," 0.086","0.305"," 0.029","0.322"
"Jorge Polanco","69.1%","19.000"," 0.010","0.661"," 0.087","0.305"," 0.062","0.068"
"Robbie Grossman","67.1%","19.000"," 0.043","0.153"," 0.143","0.085"," 0.065","0.068"
"LaMonte Wade Jr.","66.9%","58.000"," 0.052","0.068"," 0.080","0.356"," 0.035","0.237"
"Anthony Santander","64.9%","41.000","-0.007","0.712"," 0.079","0.356"," 0.014","0.644"
"Trent Grisham","64.4%","58.000"," 0.005","0.831"," 0.000","1.000","-0.009","0.780"
"Yoán Moncada","62.1%","32.000"," 0.002","0.915"," 0.079","0.356"," 0.030","0.322"
"Tony Kemp","61.4%","32.000"," 0.023","0.356","-0.090","0.305","-0.034","0.254"
"Eduardo Escobar","60.7%","14.000","-0.048","0.119","-0.145","0.085","-0.059","0.068"
"Yasmani Grandal","59.5%","14.000","-0.002","0.915","-0.125","0.119","-0.044","0.136"
"George Springer III","59.5%","14.000","-0.008","0.695","-0.011","0.898","-0.005","0.881"
"Juan Soto","59.0%","32.000"," 0.057","0.051"," 0.094","0.254"," 0.046","0.119"
"Ronald Acuña Jr.","58.4%","32.000"," 0.089","0.017"," 0.174","0.034"," 0.077","0.017"
"Jonah Heim","58.2%","58.000","-0.003","0.881"," 0.075","0.373"," 0.026","0.390"
"Alex Bregman","57.9%","26.000"," 0.028","0.288"," 0.030","0.661"," 0.015","0.644"
"Mookie Betts","57.4%","14.000"," 0.066","0.034"," 0.203","0.017"," 0.077","0.017"
"Bryan Reynolds","57.0%","41.000","-0.031","0.271","-0.048","0.576"," 0.003","0.949"
"Rafael Devers","55.9%","32.000"," 0.051","0.068"," 0.124","0.119"," 0.048","0.102"
"Ketel Marte","55.8%","19.000"," 0.023","0.356"," 0.087","0.305"," 0.033","0.254"
"Jose Altuve","53.8%","14.000"," 0.059","0.051"," 0.184","0.017"," 0.074","0.034"
"Enrique Hernández","53.3%","26.000","-0.012","0.610","-0.061","0.424","-0.023","0.458"
