"Player","Shift Rate (2022)","Est_2023_OBP","p_OBP","Est_2023_OPS","p_OPS","Est_2023_wOBA","p_wOBA"
"Corey Seager","92.8%"," 0.083","0.013"," 0.288","0.013"," 0.124","0.013"
"Kyle Tucker","90.9%"," 0.038","0.152"," 0.104","0.177"," 0.034","0.228"
"Kyle Schwarber","90.7%"," 0.027","0.266"," 0.077","0.266"," 0.032","0.278"
"Cody Bellinger","90.5%"," 0.041","0.101"," 0.130","0.076"," 0.047","0.101"
"Joey Gallo","90.0%","-0.001","0.962"," 0.037","0.582"," 0.018","0.494"
"Max Kepler","89.7%"," 0.024","0.304"," 0.096","0.190"," 0.044","0.114"
"Max Muncy","89.0%"," 0.008","0.747"," 0.032","0.620","-0.004","0.873"
"Seth Brown","88.6%","-0.035","0.190","-0.038","0.582","-0.016","0.557"
"Shohei Ohtani","88.3%"," 0.081","0.013"," 0.255","0.013"," 0.089","0.013"
"Yordan Alvarez","88.1%"," 0.029","0.241"," 0.214","0.013"," 0.083","0.013"
"Brandon Lowe","85.3%"," 0.001","0.962"," 0.077","0.266"," 0.030","0.304"
"Brandon Belt","85.2%"," 0.047","0.063"," 0.110","0.165"," 0.053","0.076"
"Eddie Rosario","83.6%"," 0.001","0.975"," 0.001","1.000"," 0.003","0.937"
"Cavan Biggio","82.8%"," 0.012","0.582"," 0.030","0.633"," 0.020","0.430"
"Anthony Rizzo","82.6%","-0.005","0.835","-0.050","0.468","-0.013","0.633"
"Matt Olson","81.3%"," 0.072","0.025"," 0.222","0.013"," 0.085","0.013"
"Mike Yastrzemski","81.2%"," 0.014","0.506"," 0.073","0.304"," 0.034","0.228"
"Eugenio Suárez","80.9%"," 0.008","0.747","-0.077","0.266","-0.008","0.772"
"Byron Buxton","78.8%","-0.010","0.684"," 0.003","0.975","-0.001","0.962"
"Rowdy Tellez","78.4%","-0.036","0.177","-0.049","0.468","-0.012","0.646"
"Carlos Santana","78.2%","-0.004","0.911"," 0.021","0.709"," 0.005","0.835"
"Jorge Soler","78.0%"," 0.021","0.354"," 0.081","0.253"," 0.028","0.342"
"José Ramírez","77.3%"," 0.058","0.025"," 0.141","0.063"," 0.055","0.076"
"Josh Naylor","77.1%"," 0.031","0.228"," 0.136","0.076"," 0.047","0.101"
"Joc Pederson","77.0%"," 0.024","0.316","-0.002","1.000"," 0.001","0.975"
"Daniel Vogelbach","76.4%"," 0.013","0.582","-0.010","0.873","-0.033","0.228"
"Bryce Harper","75.7%"," 0.043","0.063"," 0.094","0.203"," 0.040","0.165"
"Salvador Perez","75.6%","-0.020","0.405"," 0.027","0.658"," 0.012","0.646"
"Marcus Semien","75.3%"," 0.022","0.354"," 0.092","0.215"," 0.036","0.203"
"Ozzie Albies","75.1%"," 0.030","0.228"," 0.132","0.076"," 0.065","0.051"
