"Player","Shift Rate (2022)","Donors","Est_2023_OBP","p_OBP","Est_2023_OPS","p_OPS","Est_2023_wOBA","p_wOBA"
"Corey Seager","92.8%","15.000"," 0.085","0.021"," 0.288","0.021"," 0.103","0.021"
"Kyle Tucker","90.9%","47.000"," 0.042","0.167"," 0.120","0.167"," 0.033","0.208"
"Kyle Schwarber","90.7%","10.000"," 0.008","0.688"," 0.070","0.396"," 0.027","0.312"
"Cody Bellinger","90.5%","20.000"," 0.037","0.250"," 0.158","0.104"," 0.059","0.104"
"Joey Gallo","90.0%","20.000","-0.051","0.083","-0.072","0.333","-0.024","0.375"
"Max Kepler","89.7%","14.000"," 0.011","0.583"," 0.124","0.146"," 0.044","0.188"
"Max Muncy","89.0%","26.000"," 0.005","0.771","-0.026","0.771","-0.005","0.896"
"Seth Brown","88.6%","47.000","-0.026","0.333","-0.038","0.667","-0.016","0.646"
"Shohei Ohtani","88.3%","26.000"," 0.076","0.021"," 0.241","0.021"," 0.083","0.021"
"Yordan Alvarez","88.1%","35.000"," 0.015","0.479"," 0.239","0.021"," 0.088","0.021"
"Brandon Lowe","85.3%","35.000"," 0.010","0.625"," 0.078","0.312"," 0.031","0.208"
"Brandon Belt","85.2%","10.000"," 0.048","0.104"," 0.115","0.167"," 0.047","0.146"
"Eddie Rosario","83.6%","10.000","-0.004","0.792"," 0.007","0.958"," 0.000","1.000"
"Cavan Biggio","82.8%","35.000"," 0.009","0.625"," 0.030","0.750"," 0.020","0.562"
"Anthony Rizzo","82.6%","10.000","-0.004","0.792","-0.075","0.312","-0.024","0.375"
"Matt Olson","81.3%","26.000"," 0.076","0.021"," 0.216","0.021"," 0.084","0.021"
"Mike Yastrzemski","81.2%","35.000"," 0.017","0.458"," 0.079","0.312"," 0.032","0.208"
"Eugenio Suárez","80.9%","10.000"," 0.006","0.708","-0.069","0.396","-0.023","0.417"
"Byron Buxton","78.8%","15.000","-0.043","0.167","-0.064","0.417","-0.033","0.188"
"Rowdy Tellez","78.4%","35.000","-0.023","0.375","-0.043","0.604","-0.017","0.646"
"Carlos Santana","78.2%","10.000","-0.005","0.792"," 0.021","0.854"," 0.005","0.896"
"Jorge Soler","78.0%","10.000"," 0.023","0.375"," 0.081","0.292"," 0.028","0.208"
"José Ramírez","77.3%","10.000"," 0.058","0.083"," 0.129","0.125"," 0.045","0.167"
"Josh Naylor","77.1%","35.000"," 0.032","0.312"," 0.136","0.104"," 0.047","0.146"
"Joc Pederson","77.0%","10.000"," 0.019","0.458"," 0.016","0.917"," 0.039","0.188"
"Daniel Vogelbach","76.4%","35.000","-0.001","0.938","-0.008","0.958","-0.040","0.188"
"Bryce Harper","75.7%","10.000"," 0.043","0.167"," 0.094","0.208"," 0.040","0.188"
"Salvador Perez","75.6%","10.000","-0.017","0.479"," 0.049","0.562"," 0.013","0.750"
"Marcus Semien","75.3%","10.000"," 0.030","0.312"," 0.163","0.104"," 0.060","0.104"
"Ozzie Albies","75.1%","26.000"," 0.031","0.312"," 0.163","0.104"," 0.062","0.104"
