"Player","Shift Rate (2022)","Est_2023_OBP","p_OBP","Est_2023_OPS","p_OPS","Est_2023_wOBA","p_wOBA"
"Corey Seager","92.8%"," 0.060","0.034"," 0.263","0.017"," 0.096","0.017"
"Kyle Tucker","90.9%"," 0.047","0.102"," 0.097","0.237"," 0.034","0.271"
"Kyle Schwarber","90.7%"," 0.026","0.305"," 0.016","0.898"," 0.014","0.729"
"Cody Bellinger","90.5%"," 0.041","0.169"," 0.164","0.085"," 0.060","0.068"
"Joey Gallo","90.0%","-0.004","0.864"," 0.037","0.712"," 0.018","0.678"
"Max Kepler","89.7%"," 0.028","0.271"," 0.159","0.085"," 0.060","0.068"
"Max Muncy","89.0%"," 0.005","0.847","-0.026","0.746","-0.005","0.949"
"Seth Brown","88.6%","-0.035","0.220","-0.043","0.678","-0.021","0.593"
"Shohei Ohtani","88.3%"," 0.076","0.017"," 0.241","0.017"," 0.083","0.017"
"Yordan Alvarez","88.1%"," 0.015","0.475"," 0.214","0.017"," 0.083","0.017"
"Brandon Lowe","85.3%"," 0.012","0.593"," 0.078","0.373"," 0.033","0.288"
"Brandon Belt","85.2%"," 0.054","0.051"," 0.116","0.186"," 0.051","0.119"
"Eddie Rosario","83.6%","-0.010","0.627"," 0.070","0.407"," 0.017","0.712"
"Cavan Biggio","82.8%"," 0.015","0.492"," 0.030","0.746"," 0.013","0.729"
"Anthony Rizzo","82.6%"," 0.008","0.695","-0.037","0.712","-0.003","0.966"
"Matt Olson","81.3%"," 0.075","0.017"," 0.222","0.017"," 0.085","0.017"
"Mike Yastrzemski","81.2%"," 0.009","0.678"," 0.078","0.373"," 0.034","0.271"
"Eugenio Suárez","80.9%"," 0.006","0.712","-0.049","0.576","-0.005","0.949"
"Byron Buxton","78.8%","-0.025","0.305","-0.057","0.475","-0.029","0.339"
"Rowdy Tellez","78.4%","-0.024","0.305","-0.083","0.322","-0.017","0.695"
"Carlos Santana","78.2%"," 0.001","0.949"," 0.032","0.712"," 0.012","0.763"
"Jorge Soler","78.0%"," 0.024","0.305"," 0.133","0.102"," 0.051","0.119"
"José Ramírez","77.3%"," 0.036","0.203"," 0.012","0.915","-0.001","1.000"
"Josh Naylor","77.1%"," 0.031","0.254"," 0.136","0.102"," 0.047","0.136"
"Joc Pederson","77.0%"," 0.038","0.169"," 0.023","0.763"," 0.015","0.712"
"Daniel Vogelbach","76.4%"," 0.000","0.949","-0.013","0.915","-0.040","0.220"
"Bryce Harper","75.7%"," 0.061","0.034"," 0.087","0.305"," 0.039","0.220"
"Salvador Perez","75.6%"," 0.005","0.797","-0.009","0.915"," 0.022","0.559"
"Marcus Semien","75.3%"," 0.040","0.169"," 0.153","0.085"," 0.064","0.068"
"Ozzie Albies","75.1%"," 0.030","0.254"," 0.165","0.085"," 0.063","0.068"
