"Player","Shift Rate (2022)","Donors","Est_2022_OBP","p_OBP","Est_2022_OPS","p_OPS","Est_2022_wOBA","p_wOBA"
"Corey Seager","92.8%",20,"-0.045","0.051","-0.090","0.051","-0.043","0.051"
"Kyle Tucker","90.9%",58,"-0.002","0.542"," 0.029","0.288"," 0.012","0.237"
"Kyle Schwarber","90.7%",14,"-0.009","0.322"," 0.066","0.085","-0.001","0.593"
"Cody Bellinger","90.5%",26,"-0.084","0.017","-0.145","0.017","-0.063","0.017"
"Joey Gallo","90.0%",26,"-0.076","0.017","-0.183","0.017","-0.074","0.017"
"Max Kepler","89.7%",19,"-0.007","0.390","-0.035","0.220","-0.011","0.237"
"Max Muncy","89.0%",32,"-0.028","0.085","-0.146","0.017","-0.045","0.017"
"Seth Brown","88.6%",58,"-0.009","0.322"," 0.028","0.288"," 0.011","0.237"
"Shohei Ohtani","88.3%",32,"-0.021","0.136","-0.027","0.322","-0.031","0.085"
"Yordan Alvarez","88.1%",41," 0.033","0.085"," 0.177","0.017"," 0.063","0.017"
"Brandon Lowe","85.3%",41,"-0.021","0.169","-0.109","0.017","-0.038","0.068"
"Brandon Belt","85.2%",14,"-0.045","0.051","-0.200","0.017","-0.076","0.017"
"Eddie Rosario","83.6%",14,"-0.038","0.068","-0.151","0.017","-0.060","0.017"
"Cavan Biggio","82.8%",41,"-0.024","0.085","-0.051","0.153","-0.019","0.136"
"Anthony Rizzo","82.6%",14,"-0.031","0.085","-0.040","0.203","-0.023","0.102"
"Matt Olson","81.3%",32,"-0.002","0.542","-0.016","0.407","-0.011","0.237"
"Mike Yastrzemski","81.2%",41,"-0.010","0.305","-0.077","0.085","-0.023","0.102"
"Eugenio Suárez","80.9%",14,"-0.002","0.559"," 0.018","0.373"," 0.005","0.390"
"Byron Buxton","78.8%",20,"-0.001","0.627"," 0.062","0.085"," 0.026","0.102"
"Rowdy Tellez","78.4%",41," 0.006","0.390"," 0.076","0.085"," 0.030","0.102"
"Carlos Santana","78.2%",14,"-0.046","0.051","-0.055","0.085","-0.026","0.102"
"Jorge Soler","78.0%",14,"-0.026","0.085","-0.126","0.017","-0.047","0.017"
"José Ramírez","77.3%",14," 0.015","0.254"," 0.123","0.017"," 0.031","0.085"
"Josh Naylor","77.1%",41," 0.005","0.407"," 0.095","0.051"," 0.030","0.102"
"Joc Pederson","77.0%",14," 0.020","0.186"," 0.060","0.085"," 0.032","0.085"
"Daniel Vogelbach","76.4%",41," 0.031","0.085"," 0.076","0.085"," 0.039","0.068"
"Bryce Harper","75.7%",14,"-0.031","0.085","-0.104","0.051","-0.049","0.017"
"Salvador Perez","75.6%",14,"-0.004","0.441"," 0.020","0.339"," 0.004","0.475"
"Marcus Semien","75.3%",14,"-0.015","0.254","-0.046","0.153","-0.021","0.102"
"Ozzie Albies","75.1%",32,"-0.037","0.068","-0.016","0.407","-0.021","0.119"
