"Player","Shift Rate (2022)","Donors","Est_2023_OBP","p_OBP","Est_2023_OPS","p_OPS","Est_2023_wOBA","p_wOBA"
"Corey Seager","92.8%","11.000"," 0.064","0.031"," 0.225","0.031"," 0.099","0.031"
"Kyle Tucker","90.9%","31.000"," 0.041","0.281"," 0.108","0.156"," 0.038","0.188"
"Kyle Schwarber","90.7%","15.000"," 0.033","0.281","-0.003","0.938","-0.006","0.844"
"Max Kepler","89.7%","11.000"," 0.012","0.750"," 0.057","0.500"," 0.024","0.438"
"Max Muncy","89.0%","18.000","-0.005","0.844","-0.048","0.594","-0.013","0.656"
"Shohei Ohtani","88.3%","20.000"," 0.062","0.031"," 0.267","0.031"," 0.086","0.031"
"Yordan Alvarez","88.1%","31.000","-0.001","0.938"," 0.180","0.094"," 0.065","0.094"
"Anthony Rizzo","82.6%","11.000"," 0.002","0.938","-0.047","0.594","-0.017","0.594"
"Matt Olson","81.3%","18.000"," 0.064","0.031"," 0.211","0.031"," 0.078","0.094"
"Eugenio Suárez","80.9%","11.000"," 0.006","0.812"," 0.019","0.812"," 0.008","0.781"
"Carlos Santana","78.2%","11.000"," 0.002","0.938"," 0.032","0.719"," 0.009","0.719"
"José Ramírez","77.3%","11.000"," 0.028","0.312"," 0.028","0.781"," 0.026","0.438"
"Joc Pederson","77.0%","11.000"," 0.036","0.281"," 0.016","0.812"," 0.012","0.656"
"Bryce Harper","75.7%","11.000"," 0.049","0.125"," 0.068","0.375"," 0.036","0.188"
"Salvador Perez","75.6%","10.000","-0.014","0.688","-0.034","0.688","-0.014","0.625"
"Marcus Semien","75.3%","11.000"," 0.056","0.031"," 0.178","0.094"," 0.075","0.094"
